,weight,gain,cover,total_gain,total_cover
vol20d,637.0,4.629223823547363,37.27571487426758,2948.815673828125,23744.630859375
hyig_diff_bps,520.0,2.249042510986328,26.572282791137695,1169.5020751953125,13817.5869140625
FGI,439.0,1.6876220703125,23.43183135986328,740.8660888671875,10286.57421875
ig_level_pct,387.0,2.735551595687866,25.749059677124023,1058.658447265625,9964.8857421875
dxy_ma_gap20,371.0,1.416759729385376,15.522284507751465,525.6178588867188,5758.767578125
vix_ma_gap20,468.0,2.019318103790283,24.17442512512207,945.0408325195312,11313.630859375
hy_vol_20d_bps,450.0,3.2939441204071045,25.524688720703125,1482.27490234375,11486.1103515625
fgi_hyig_inter,412.0,1.9178279638290405,24.85017967224121,790.1451416015625,10238.2744140625
yc_slope_sq,383.0,1.9882580041885376,27.834672927856445,761.5028076171875,10660.6796875
vix_yc_inter,503.0,1.727134346961975,20.672483444213867,868.7485961914062,10398.2587890625
dxy_vix_inter,329.0,1.128117322921753,15.558878898620605,371.1506042480469,5118.87109375
vrp,334.0,1.3406914472579956,20.53938865661621,447.7909240722656,6860.15576171875
d_vrp,379.0,1.0667356252670288,18.604047775268555,404.29278564453125,7050.93408203125
z_vrp,327.0,1.5168020725250244,18.616331100463867,495.9942932128906,6087.54052734375
usd_rate_vol_inter,562.0,1.3606314659118652,20.489168167114258,764.6748657226562,11514.912109375
hyig_momo_20d_bps,350.0,1.1337271928787231,13.785780906677246,396.80450439453125,4825.0234375
credit_vol_ratio,574.0,2.274388074874878,23.31021499633789,1305.498779296875,13380.0634765625
