feature,IC,RankIC
vol20d,0.22630356560981058,0.2666726773619221
hyig_diff_bps,-0.022098227962751286,-0.019591937032050366
FGI,-0.20993331599645765,-0.21846244729064435
ig_level_pct,0.10358740129171265,0.11583760314149273
dxy_ma_gap20,0.047140305059234444,0.03661182077580993
vix_ma_gap20,0.08113790179604204,0.126381895280641
hy_vol_20d_bps,0.004426689002421241,0.03720276899113702
fgi_hyig_inter,0.14244485981312832,0.18813389395060567
yc_slope_sq,-0.03646669445484138,-0.06866525950630824
vix_yc_inter,0.08432670740777115,0.08769343664086665
dxy_vix_inter,0.06513792460351224,0.03850818355172276
